,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,14.248511904761905,82.9280869799733,0.0,191.3198319417393,66.21006881406444,75.95805613178345,57.95909665682007,39.742040915434146,52.15326066704865,151.6235641973041,103.30745973625291
1,14.248511904761905,82.9280869799733,0.0,191.3198319417393,66.21006881406444,75.95805613178345,57.95909665682007,39.742040915434146,52.15326066704865,151.6235641973041,103.30745973625291
2,13.709077380952381,81.02801443690352,60.833664483764395,192.0,68.74691100103037,29.149305643661467,15.14763892863353,128.4018635041368,51.640723135750996,149.7447552019967,27.234934571630227
3,12.723214285714286,80.79276613893633,58.92378711209197,192.0,62.283639005596214,28.60325497732217,14.747318558707507,126.50255348567487,49.27036861422976,150.6162363837158,26.59968417678674
4,12.537202380952381,80.6275896702801,58.428282706614,192.0,61.443177653348094,28.20460667361875,14.845584320103978,127.06558738404229,49.11776383076759,148.84846611555702,27.933301892813844
5,12.406994047619047,78.0104808750622,61.05982005691082,192.0,67.11457698955853,29.831475577543024,13.799415925852681,130.20956214108688,51.78610983014889,147.2077767215014,26.884815329299297
6,12.406994047619047,78.0104808750622,61.05982005691082,192.0,67.11457698955853,29.831475577543024,13.799415925852681,130.20956214108688,51.78610983014889,147.2077767215014,26.884815329299297
7,12.313988095238095,80.96496955172213,60.19670115218559,191.13851131001996,61.51779424248737,26.54063113401951,14.437469842167651,128.10928488544155,49.21697149555459,147.56047711458916,26.992408798533006
8,12.313988095238095,80.96496955172213,60.19670115218559,191.13851131001996,61.51779424248737,26.54063113401951,14.437469842167651,128.10928488544155,49.21697149555459,147.56047711458916,26.992408798533006
9,12.313988095238095,80.96496955172213,60.19670115218559,191.13851131001996,61.51779424248737,26.54063113401951,14.437469842167651,128.10928488544155,49.21697149555459,147.56047711458916,26.992408798533006
