,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,26217.7013529,-71.9321984733,-68.4101588226,2.5449004823,31.1793234736,-58.2447867659,0.91111767482,-18.7522486008,-29.8661623276,4.58078267065,1.94629350195,-47.0142815423,0.879852788369
1,22639.7621595,-82.5314995525,-5.48138847479,3.41450958452,-34.8482986441,23.8642959147,0.977446388946,-57.8561756281,45.7568300398,4.00967805554,-2.91218331888,48.4706289218,2.19171107231
2,20903.1855924,37.3009624284,-55.603941384,4.77820694884,-10.4630431701,-37.8884837272,5.10756595919,6.85335072862,-4.72334173435,2.76946619539,21.7534693897,-68.9231356412,2.21965379441
3,20903.1855924,37.3009624284,-55.603941384,4.77820694884,-10.4630431701,-37.8884837272,5.10756595919,6.85335072862,-4.72334173435,2.76946619539,21.7534693897,-68.9231356412,2.21965379441
4,20760.002246,-55.5219839621,74.1675352951,0.0,-8.82722039754,60.5145747298,4.25693151888,-47.6465758566,31.2500710702,5.86848648204,-39.8680455362,58.3586913885,0.970025571323
5,20296.4742144,-55.1986690125,73.8679992375,0.0121197171346,-9.5590935744,60.7746981546,4.25151240994,-47.1117349115,31.7157601805,5.88132255795,-39.8579440957,59.0284894207,0.959205412797
6,19855.2403376,-55.4670767794,73.3461056839,0.00831098897787,-9.69522858947,60.664566082,4.24312505187,-46.7726092937,32.6751998364,5.87940419639,-40.0958585327,58.8662303173,0.966672492876
7,19447.156549,-55.7531460542,73.6110961367,0.00592367637129,-10.1202431072,60.6565043634,4.23967410385,-46.4492771435,33.3554079032,5.875157722,-40.3886084488,59.3317618471,0.960070769099
8,18924.6799129,-56.1751373088,73.8289250348,0.00376815348092,-10.5380799659,60.2543843872,4.24488648125,-45.9241240065,34.2017044788,5.87803695958,-40.5133379515,59.9477262297,0.945366665916
9,18888.5509131,-56.2285251254,73.8528609801,0.00297721410084,-10.5770961615,60.2061284458,4.24565415796,-45.8494521114,34.2817565738,5.87859707955,-40.5282935807,60.0550884728,0.943551300434
