,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,6475.12546397,10.8708198259,69.4321351503,118.866515659,61.0696032344,29.1492190721,17.583635657,38.3028360693,0.0,18.8215649664,73.2431122146
1,6475.12546397,10.8708198259,69.4321351503,118.866515659,61.0696032344,29.1492190721,17.583635657,38.3028360693,0.0,18.8215649664,73.2431122146
2,6475.12546397,10.8708198259,69.4321351503,118.866515659,61.0696032344,29.1492190721,17.583635657,38.3028360693,0.0,18.8215649664,73.2431122146
3,6475.12546397,10.8708198259,69.4321351503,118.866515659,61.0696032344,29.1492190721,17.583635657,38.3028360693,0.0,18.8215649664,73.2431122146
4,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
5,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
6,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
7,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
8,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
9,6456.98243316,131.908236092,58.2532650763,96.4376721745,30.5670709169,49.1322885479,66.7301946835,186.28523352,35.8549809492,40.8196996196,91.257644397
