,cost,x1,x2,x3,x4,x5,x6
0,19.791666666666668,85.21123282317181,7.401562177527593,147.2919701720727,14.782302435406454,63.91922657021293,69.08028192053615
1,19.642857142857142,133.94409082344725,3.551464831473532,153.03250941935943,23.861194406749632,16.381624782957456,64.16444330616744
2,18.805803571428573,136.46189168732244,2.113864535868116,151.36135660669052,23.830059425399615,13.968145121040038,63.212806477425765
3,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
4,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
5,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
6,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
7,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
8,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
9,18.415178571428573,133.78613666047403,2.2725438267043003,151.97802814161898,23.41832268457287,15.388824213115678,61.695740104122336
