,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,12107.0382027,31.0575320969,70.0486579092,86.7144063316,61.3025031725,150.053111428,23.0097522936,52.6986062635,11.4050774718,183.548729582,3.19492784758
1,11442.0652933,18.5565436409,21.2732097466,32.1234896178,13.8612752633,42.5628562292,95.9988576618,114.628492433,59.3944396366,170.974179108,17.4318172782
2,11294.8813017,14.2818242686,93.9021366355,22.4681376164,53.0930245946,35.8146557914,36.5581687803,148.032027575,71.9605579801,85.629943891,58.3366287312
3,11294.8813017,14.2818242686,93.9021366355,22.4681376164,53.0930245946,35.8146557914,36.5581687803,148.032027575,71.9605579801,85.629943891,58.3366287312
4,11294.8813017,14.2818242686,93.9021366355,22.4681376164,53.0930245946,35.8146557914,36.5581687803,148.032027575,71.9605579801,85.629943891,58.3366287312
5,11272.43127,11.9682920852,94.9363753731,20.6371274704,53.5280590099,37.7500495687,36.963433304,147.890057388,70.8658381184,89.1318566789,56.9389028237
6,11247.0508051,11.9152691401,94.9378347455,20.6786096334,53.4379955277,37.5751595207,36.7824788777,147.874895326,70.9980755346,88.9877984347,57.0240391983
7,11247.0508051,11.9152691401,94.9378347455,20.6786096334,53.4379955277,37.5751595207,36.7824788777,147.874895326,70.9980755346,88.9877984347,57.0240391983
8,11247.0508051,11.9152691401,94.9378347455,20.6786096334,53.4379955277,37.5751595207,36.7824788777,147.874895326,70.9980755346,88.9877984347,57.0240391983
9,11247.0508051,11.9152691401,94.9378347455,20.6786096334,53.4379955277,37.5751595207,36.7824788777,147.874895326,70.9980755346,88.9877984347,57.0240391983
