,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0,5500.5207053,130.053342984,22.9956538062,18.6095643442,31.3319248871,107.673825297,62.7367834189,117.966110435,105.190995921,87.3830682303,70.1745495994,29.7236580216,71.0223663325,35.0848021105,116.166887246
1,5500.5207053,130.053342984,22.9956538062,18.6095643442,31.3319248871,107.673825297,62.7367834189,117.966110435,105.190995921,87.3830682303,70.1745495994,29.7236580216,71.0223663325,35.0848021105,116.166887246
2,5500.5207053,130.053342984,22.9956538062,18.6095643442,31.3319248871,107.673825297,62.7367834189,117.966110435,105.190995921,87.3830682303,70.1745495994,29.7236580216,71.0223663325,35.0848021105,116.166887246
3,5500.5207053,130.053342984,22.9956538062,18.6095643442,31.3319248871,107.673825297,62.7367834189,117.966110435,105.190995921,87.3830682303,70.1745495994,29.7236580216,71.0223663325,35.0848021105,116.166887246
4,5479.74454008,136.447181053,45.7550197274,44.5395868361,65.6721238133,28.5041886523,115.30678772,65.58752142,12.8948995813,52.6511809229,77.9157687424,0.0,42.6833579684,172.644568651,19.5256069068
5,5460.22944713,136.813274765,45.8909318524,44.4739743075,65.3797059521,28.4957184543,115.454247918,65.4879626433,12.8850706969,53.1288965086,78.0436547134,0.363078801743,42.4654539445,172.181288357,19.6348707822
6,5460.22944713,136.813274765,45.8909318524,44.4739743075,65.3797059521,28.4957184543,115.454247918,65.4879626433,12.8850706969,53.1288965086,78.0436547134,0.363078801743,42.4654539445,172.181288357,19.6348707822
7,5460.22944713,136.813274765,45.8909318524,44.4739743075,65.3797059521,28.4957184543,115.454247918,65.4879626433,12.8850706969,53.1288965086,78.0436547134,0.363078801743,42.4654539445,172.181288357,19.6348707822
8,5460.22944713,136.813274765,45.8909318524,44.4739743075,65.3797059521,28.4957184543,115.454247918,65.4879626433,12.8850706969,53.1288965086,78.0436547134,0.363078801743,42.4654539445,172.181288357,19.6348707822
9,5460.22944713,136.813274765,45.8909318524,44.4739743075,65.3797059521,28.4957184543,115.454247918,65.4879626433,12.8850706969,53.1288965086,78.0436547134,0.363078801743,42.4654539445,172.181288357,19.6348707822
