,cost,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,6491.15741988,40.6235081471,23.1405503056,32.4499775255,55.1073027984,22.6957639327,31.5925335999,10.8947522279,99.2003745163,158.927671325,36.0037852716
1,6429.45813526,66.0107477927,69.3314633223,162.116072673,100.741786207,173.813395774,12.5277843603,143.486801637,73.8814360361,18.4904419665,57.8612186148
2,6394.79935564,31.7710105793,22.2495373984,154.383514939,102.575933339,82.1179509933,47.2413617243,19.8678393012,60.8631993763,171.768817293,52.3805186551
3,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
4,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
5,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
6,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
7,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
8,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
9,6301.08767138,183.052781663,66.1812088735,31.1514011476,36.2685666527,90.1452614781,61.6064097609,168.740245918,88.4379055718,127.468733093,60.0529705028
